Component_ID,Vendor_ID,Route_ID,Price_per_Unit,past_incident_count,collaboration_tenure,Source,Mode,Backup Route Availability,Peak_Congestion_Indicator,Order_Pressure,Stress_Score,High_Risk_Vendor,High_Order_Pressure,High_Transit_Risk,High_Demand_vs_Reliability,High_Stress_Score,Low_Order_Pressure,Low_Stress_Score,Low_Demand_vs_Reliability,Low_Vendor_Risk,Price_per_Unit_vs_Order,Low_Price_per_Unit_vs_Order,Shortfall_flag
4,4,22,37.0,1,1,19,Flight,Yes,0,13.285714285714286,9.3,1,0,0,0,0,0,1,0,0,0.09919571045576407,0,1
2,11,14,88.0,5,4,28,Lorry,Yes,0,7.309523809523809,197.35714285714286,1,0,1,0,0,0,0,0,0,0.2857142857142857,0,1
4,4,14,37.0,1,1,28,Lorry,Yes,0,26.5,715.5,1,1,1,0,1,0,0,0,0,0.07740585774058577,0,1
3,1,4,65.2,4,1,0,Lorry,Yes,0,14.0,347.2,0,0,0,0,0,0,0,1,0,0.576991150442478,0,1
4,13,3,37.0,1,6,9,Train,Yes,1,38.111111111111114,403.2155555555555,0,1,0,0,1,0,0,0,1,0.053857350800582245,0,1
4,7,22,37.0,0,4,19,Flight,Yes,0,184.0,128.79999999999998,0,1,0,0,0,0,0,0,0,0.06690777576853527,0,1
4,0,4,37.0,1,6,0,Lorry,Yes,0,10.166666666666666,252.13333333333333,0,0,0,0,0,0,0,1,1,0.20108695652173914,0,1
2,11,0,88.0,5,4,18,Train,Yes,2,8.441176470588236,269.44235294117647,1,0,1,0,0,0,0,0,0,0.3055555555555556,0,1
0,11,5,25.5,5,4,23,Train,No,2,23.2,343.128,1,1,0,0,0,0,0,0,0,0.10944206008583691,0,1
4,11,24,37.0,5,4,5,Lorry,Yes,0,335.5,1395.68,1,1,0,1,1,0,0,0,0,0.05505952380952381,0,1
0,4,2,25.5,1,1,4,Flight,Yes,0,2.2333333333333334,3.35,1,0,0,0,0,1,1,1,0,0.375,0,1
2,6,2,88.0,1,2,4,Flight,Yes,0,19.76923076923077,29.653846153846153,0,0,0,0,0,0,1,1,1,0.34108527131782945,0,1
4,10,25,37.0,0,5,12,Train,No,1,41.666666666666664,1300.0,0,1,1,1,1,0,0,0,1,0.0492676431424767,1,1
2,5,26,88.0,1,2,8,Lorry,Yes,2,9.8,499.8,0,0,1,0,1,0,0,1,0,0.8888888888888888,0,1
3,9,14,65.2,4,2,28,Lorry,Yes,0,20.833333333333332,562.5,1,1,1,1,1,0,0,0,0,0.08681757656458056,0,1
4,4,21,37.0,1,1,29,Lorry,Yes,1,27.77777777777778,280.00000000000006,1,1,0,1,0,0,0,0,0,0.0492676431424767,1,1
1,10,6,12.75,0,5,11,Lorry,No,2,24.153846153846153,1956.4615384615383,0,1,1,0,1,0,0,0,1,0.04047619047619048,1,1
2,5,20,88.0,1,2,1,Train,Yes,1,17.658536585365855,1110.7219512195124,0,0,1,1,1,0,0,0,0,0.12137931034482759,0,1
0,5,24,25.5,1,2,5,Lorry,Yes,0,18.928571428571427,78.74285714285713,0,0,0,0,0,0,0,0,0,0.09586466165413533,0,1
4,7,13,37.0,0,4,13,Train,Yes,1,28.846153846153847,1422.1153846153845,0,1,1,1,1,0,0,0,0,0.0492676431424767,1,1
3,14,8,65.2,0,7,14,Train,Yes,1,35.72222222222222,2572.0,0,1,1,0,1,0,0,0,0,0.10124223602484472,0,1
4,6,27,37.0,1,2,25,Train,No,1,187.5,12375.0,0,1,1,1,1,0,0,0,1,0.0492676431424767,1,1
3,0,8,65.2,1,6,14,Train,Yes,1,54.333333333333336,3912.0,0,1,1,0,1,0,0,0,1,0.19938837920489297,0,1
1,8,0,12.75,1,1,18,Train,Yes,2,6.444444444444445,205.70666666666665,1,0,1,0,0,0,0,0,0,0.05472103004291846,0,1
3,10,21,65.2,0,5,29,Lorry,Yes,1,10.478260869565217,105.6208695652174,0,0,0,0,0,0,0,0,1,0.2694214876033058,0,1
2,4,16,88.0,1,1,21,Lorry,Yes,1,57.69230769230769,623.0769230769231,1,1,0,1,1,0,0,0,0,0.11717709720372836,0,1
4,5,20,37.0,1,2,1,Train,Yes,1,17.375,1092.8875,0,0,1,0,1,0,0,0,0,0.13261648745519714,0,1
2,0,23,88.0,1,6,27,Train,Yes,1,375.0,6930.0,0,1,0,1,1,0,0,0,1,0.11717709720372836,0,1
2,8,5,88.0,1,1,23,Train,No,2,624.0,9228.96,1,1,0,1,1,0,0,0,0,0.1408,0,1
1,6,12,12.75,1,2,10,Flight,Yes,0,19.647058823529413,7.858823529411765,0,0,0,0,0,0,1,0,1,0.03805970149253731,1,1
4,12,11,37.0,3,5,22,Lorry,No,2,48.6,6561.0,0,1,1,1,1,0,0,0,0,0.050684931506849315,0,1
3,6,8,65.2,1,2,14,Train,Yes,1,28.96,2085.12,0,1,1,0,1,0,0,0,1,0.08993103448275862,0,1
0,14,2,25.5,0,7,4,Flight,Yes,0,9.789473684210526,14.684210526315788,0,0,0,0,0,0,1,0,0,0.06836461126005362,0,1
3,10,18,65.2,0,5,24,Train,Yes,0,93.75,1875.0,0,1,0,1,1,0,0,0,1,0.08681757656458056,0,1
4,14,24,37.0,0,7,5,Lorry,Yes,0,14.0,58.24,0,0,0,0,0,0,0,1,0,0.3274336283185841,0,1
2,12,20,88.0,3,5,1,Train,Yes,1,1.3529411764705883,85.10000000000001,0,0,1,0,0,1,0,1,0,1.2571428571428571,0,1
4,7,2,37.0,0,4,4,Flight,Yes,0,79.11111111111111,118.66666666666667,0,1,0,1,0,0,0,0,0,0.051893408134642355,0,1
